Image Name,Score,X Pos,Y Pos,Cells Detected
201810101043_00004.png,85,90.923,40.7958,1
201810101043_00005.png,87,87.5705,32.4764,1
201810101043_00006.png,0,-,-,0
201810101043_00008.png,87,76.4718,22.3197,1
201810101043_00017.png,70,75.9554,26.0334,1
201810101043_00018.png,88,79.178,25.376,1
201810101043_00024.png,90,77.9933,24.6696,1
201810101043_00026.png,85,78.9776,26.9043,1
201810101043_00032.png,51,81.0963,27.0868,1
201810101043_00041.png,33,77.9902,28.2052,1
201810101043_00045.png,95,52.6892,21.9272,1
201810101043_00050.png,77,71.2891,24.0115,1
201810101043_00051.png,92,78.6034,26.2042,1
201810101043_00059.png,88,89.5109,38.131,1
201810101043_00060.png,30,81.6643,27.7927,1
201810101043_00075.png,37,83.1954,29.4888,1
201810101043_00076.png,79,75.1913,26.5964,1
201810101043_00077.png,91,77.3469,24.9594,1
201810101043_00091.png,50,78.8195,27.5899,1
201810101043_00092.png,75,89.7791,42.5701,1
201810101043_00094.png,93,89.3578,35.6694,1
201810101043_00095.png,84,56.7798,23.971,1
201810101043_00097.png,61,83.9999,29.0495,1
201810101043_00098.png,47,79.3974,27.2921,1
201810101043_00102.png,41,78.0272,28.4037,1
201810101043_00105.png,72,76.1992,26.9022,1
201810101043_00109.png,54,90.4526,43.478,1
201810101043_00110.png,68,79.7203,27.5196,1
201810101043_00111.png,82,85.4089,33.8211,1
201810101043_00116.png,83,75.0781,28.1672,1
201810101043_00119.png,43,80.0131,27.2647,1
201810101043_00122.png,89,76.5108,23.9437,1
201810101043_00132.png,81,73.4307,25.2758,1
201810101043_00133.png,77,73.1668,23.991,1
201810101043_00134.png,65,75.5848,24.2924,1
201810101043_00138.png,86,78.7726,26.0852,1
201810101043_00160.png,64,74.7162,25.0106,1
201810101043_00161.png,88,89.6494,35.8752,1
201810101043_00172.png,84,86.1671,32.2099,1
201810101043_00177.png,35,82.7368,28.395,1
201810101043_00178.png,63,73.6443,29.4438,1
201810101043_00197.png,59,80.825,27.2253,1
201810101043_00207.png,85,89.881,38.752,1
201810101043_00210.png,74,78.0609,26.5204,1
201810101043_00211.png,67,84.1341,29.7915,1
201810101043_00213.png,90,86.0026,34.1082,1
201810101043_00218.png,92,84.614,33.1014,1
201810101043_00223.png,79,69.0611,26.7966,1
201810101043_00224.png,85,68.3631,28.2242,1
201810101043_00226.png,80,25.3387,30.5648,1
201810101043_00239.png,92,68.6021,23.0377,1
201810101043_00247.png,84,89.5334,37.4366,1
201810101043_00266.png,0,-,-,0
201810101043_00269.png,58,84.9404,31.4981,1
201810101043_00270.png,82,77.1677,25.3575,1
201810101043_00277.png,84,89.9492,38.632,1
201810101043_00290.png,85,70.0289,22.7614,1
201810101043_00293.png,93,89.5839,36.3779,1
201810101043_00302.png,85,87.2139,33.8616,1
201810101043_00305.png,97,67.6271,22.7766,1
201810101043_00307.png,71,73.7873,23.9157,1
201810101043_00311.png,56,83.9744,30.3776,1
201810101043_00312.png,50,33.9366,26.706,1
201810101043_00314.png,54,81.1584,29.9319,1
201810101043_00321.png,35,78.7522,27.3584,1
201810101043_00323.png,78,75.4543,24.0143,1
201810101043_00327.png,91,89.1687,34.6817,1
201810101043_00334.png,73,86.0095,33.1336,1
201810101043_00338.png,86,76.5272,22.856,1
201810101043_00352.png,65,83.7844,31.5117,1
201810101043_00354.png,88,56.5277,23.1599,1
201810101043_00356.png,79,86.9237,33.0272,1
201810101043_00359.png,96,66.2721,21.3403,1
201810101043_00363.png,86,87.157,32.815,1
201810101043_00366.png,91,89.3409,39.8095,1
201810101043_00370.png,93,77.5246,24.8047,1
201810101043_00379.png,75,70.5752,23.1013,1
201810101043_00382.png,90,39.5399,27.3495,1
201810101043_00390.png,52,84.5247,31.0518,1
201810101043_00419.png,75,53.0376,22.9798,1
201810101043_00424.png,93,90.5005,41.5981,1
201810101043_00430.png,32,80.8154,27.9034,1
201810101043_00434.png,78,82.6835,30.8686,1
201810101043_00438.png,89,70.3637,22.2485,1
201810101043_00442.png,77,74.3394,22.0026,1
201810101043_00443.png,97,52.0287,35.2486,1
201810101043_00453.png,87,76.1964,23.8055,1
201810101043_00455.png,74,85.802,31.7444,1
201810101043_00457.png,70,75.0768,25.9517,1
201810101043_00461.png,78,36.8265,26.5031,1
201810101043_00466.png,68,79.6803,27.233,1
201810101043_00470.png,95,44.4061,21.6943,1
201810101043_00474.png,80,84.7836,30.3405,1
201810101043_00476.png,80,72.6389,24.43,1
201810101043_00477.png,79,79.0487,25.5446,1
201810101043_00494.png,94,66.0418,20.6692,1
201810101043_00498.png,47,82.0609,29.6203,1
201810101043_00500.png,59,74.8614,25.5021,1
201810101043_00505.png,97,66.0641,22.5265,1
201810101043_00508.png,81,85.2141,32.9263,1
201810101043_00516.png,82,86.4366,32.6412,1
201810101043_00517.png,80,85.8838,32.1277,1
201810101043_00521.png,94,88.6859,35.5188,1
201810101043_00525.png,86,86.2593,33.8596,1
201810101043_00530.png,70,85.294,31.4868,1
201810101043_00534.png,97,46.0619,22.787,1
201810101043_00552.png,93,68.0223,22.2165,1
201810101043_00555.png,86,83.4754,32.156,1
201810101043_00575.png,74,85.6995,29.3007,1
201810101043_00576.png,81,86.7767,33.2284,1
201810101043_00577.png,66,74.1521,36.1015,1
201810101043_00578.png,91,85.0613,48.1748,1
201810101043_00584.png,22,33.8919,24.8107,1
201810101043_00588.png,58,82.1809,26.8799,1
201810101043_00589.png,44,82.2987,27.2936,1
201810101043_00591.png,79,84.8789,29.4525,1
201810101043_00594.png,0,-,-,0
201810101043_00599.png,89,69.6662,21.5382,1
201810101043_00611.png,90,86.7435,34.2794,1
201810101043_00614.png,61,81.9993,30.3964,1
201810101043_00618.png,68,82.6415,30.7052,1
201810101043_00619.png,65,77.6981,26.2496,1
201810101043_00627.png,76,84.8236,29.3432,1
201810101043_00629.png,85,87.3184,34.1004,1
201810101043_00630.png,62,47.0764,22.1331,1
201810101043_00634.png,57,75.5196,27.2168,1
201810101043_00643.png,68,41.6114,24.06,1
201810101043_00645.png,77,68.8286,24.5998,1
201810101043_00651.png,58,43.4331,24.4412,1
201810101043_00652.png,89,85.3868,34.9907,1
201810101043_00654.png,33,80.2782,28.1175,1
201810101043_00661.png,66,83.205,31.2104,1
201810101043_00662.png,97,61.7971,21.5429,1
201810101043_00665.png,96,77.9514,25.0364,1
201810101043_00676.png,94,88.6564,37.4388,1
201810101043_00683.png,88,84.1459,32.8379,1
201810101043_00686.png,78,85.5088,33.2537,1
201810101043_00687.png,96,60.8017,22.5799,1
201810101043_00689.png,86,86.4697,39.052,1
201810101043_00690.png,76,70.952,26.6517,1
201810101043_00698.png,87,90.8667,40.2624,1
201810101043_00709.png,81,87.158,33.0473,1
201810101043_00718.png,87,89.6754,39.4307,1
201810101043_00724.png,80,71.6248,23.6305,1
201810101043_00725.png,93,61.8476,51.0444,2
201810101043_00725.png,34,43.3421,32.9858,2
201810101043_00728.png,88,87.5378,36.665,1
201810101043_00729.png,77,79.2963,30.5295,1
201810101043_00738.png,69,75.1721,23.913,1
201810101043_00740.png,26,33.9654,45.7861,2
201810101043_00740.png,22,29.9718,46.5653,2
201810101043_00749.png,84,56.8991,22.3862,1
201810101043_00758.png,82,71.2855,23.0827,1
201810101043_00763.png,37,77.2621,28.799,1
201810101043_00765.png,27,77.8572,28.8673,1
201810101043_00770.png,59,74.8811,24.0701,1
201810101043_00773.png,45,81.3208,29.6121,1
201810101043_00775.png,70,65.2813,23.4724,1
201810101043_00776.png,69,63.2708,20.9999,1
201810101043_00777.png,69,81.4607,31.2843,1
201810101043_00778.png,98,50.7274,22.4235,1
201810101043_00784.png,93,89.0033,37.3418,1
201810101043_00788.png,81,70.5807,22.7017,1
201810101043_00804.png,83,85.5278,33.2204,1
201810101043_00807.png,79,72.7257,23.7868,1
201810101043_00815.png,21,72.5733,25.0672,1
201810101043_00818.png,82,75.9696,27.164,1
201810101043_00819.png,73,84.8716,31.016,1
201810101043_00832.png,56,80.2383,27.7496,1
201810101043_00841.png,90,86.9699,34.4793,1
201810101043_00854.png,90,86.0806,34.1626,1
201810101043_00855.png,85,78.8316,26.1168,1
201810101043_00860.png,97,50.2453,23.5465,1
201810101043_00864.png,80,83.0475,31.6843,1
201810101043_00884.png,77,85.2774,29.5468,1
201810101043_00918.png,96,46.7827,24.9758,1
201810101043_00919.png,87,90.339,36.9063,1
201810101043_00926.png,74,81.758,32.0576,1
201810101043_00928.png,94,66.2382,24.7063,1
201810101043_00938.png,83,86.0914,39.7009,1
201810101043_00945.png,44,77.3215,29.0466,1
201810101043_00951.png,36,79.1179,29.4094,1
201810101043_00963.png,90,22.7259,37.6919,1
201810101043_00970.png,82,72.972,23.9322,1
201810101043_00974.png,79,86.3723,33.4223,1
201810101043_00976.png,83,73.0418,23.7455,1
201810101043_00982.png,78,85.0751,30.8397,1
201810101043_00998.png,0,-,-,0
201810101043_01004.png,93,89.4209,40.777,1
201810101043_01008.png,79,86.8957,33.61,1
201810101043_01010.png,88,72.9588,25.7157,1
201810101043_01011.png,87,85.6734,33.7917,1
201810101043_01014.png,89,88.2798,35.3205,1
201810101043_01017.png,65,82.1292,30.7081,1
201810101043_01020.png,84,45.6248,23.3871,1
201810101043_01032.png,84,71.8636,20.9594,1
201810101043_01044.png,84,87.7003,34.1596,1
201810101043_01049.png,54,42.3068,23.5313,1
201810101043_01053.png,63,77.5119,26.1537,1
201810101043_01054.png,62,84.3397,30.1632,1
201810101043_01055.png,90,87.8237,35.6403,1
201810101043_01058.png,82,53.9145,19.6103,1
