Image Name,Score,X Pos,Y Pos,Cells Detected
201811121505_00000.png,71,71.3282,24.3377,1
201811121505_00001.png,63,81.8204,27.3978,4
201811121505_00001.png,14,80.5364,24.3543,4
201811121505_00001.png,6,82.3712,16.2657,4
201811121505_00001.png,5,81.8617,25.5364,4
201811121505_00002.png,88,68.4196,20.6125,1
201811121505_00003.png,95,66.8359,20.8065,1
201811121505_00004.png,70,87.2179,29.832,1
201811121505_00005.png,74,70.1213,21.9027,1
201811121505_00006.png,66,84.5352,30.2702,1
201811121505_00007.png,72,70.8555,26.6862,1
201811121505_00008.png,97,66.7508,22.982,1
201811121505_00009.png,37,87.4262,35.754,1
201811121505_00010.png,7,55.3481,69.9705,1
201811121505_00011.png,42,81.2988,27.7688,4
201811121505_00011.png,19,80.1513,25.6492,4
201811121505_00011.png,7,81.4116,16.3873,4
201811121505_00011.png,7,80.2216,25.8352,4
201811121505_00012.png,9,87.5005,31.8093,1
201811121505_00013.png,71,84.4042,29.2395,1
201811121505_00014.png,85,65.7614,21.2638,1
201811121505_00015.png,66,72.9326,23.426,1
201811121505_00016.png,73,63.149,23.4757,1
201811121505_00017.png,47,57.6714,22.9175,1
201811121505_00018.png,67,71.1552,21.5202,1
201811121505_00019.png,83,77.8824,26.1991,1
201811121505_00020.png,93,78.0822,23.5947,1
201811121505_00021.png,84,69.6028,20.7956,1
201811121505_00022.png,68,74.3354,21.0001,1
201811121505_00023.png,60,87.1372,31.436,1
201811121505_00024.png,61,89.3234,31.9405,1
201811121505_00025.png,70,78.9101,27.4165,3
201811121505_00025.png,14,79.2754,27.3159,3
201811121505_00025.png,6,81.0576,15.2242,3
201811121505_00026.png,35,79.1892,29.3626,5
201811121505_00026.png,27,79.6585,28.2546,5
201811121505_00026.png,9,81.3754,14.1668,5
201811121505_00026.png,8,79.5573,25.9408,5
201811121505_00026.png,7,83.1905,29.0798,5
201811121505_00027.png,87,88.6338,39.1531,1
201811121505_00028.png,89,87.731,31.4846,1
201811121505_00029.png,85,67.8467,21.6541,1
201811121505_00030.png,63,90.9245,37.5615,1
201811121505_00031.png,77,74.682,22.0611,1
201811121505_00032.png,50,88.1769,33.5747,1
201811121505_00033.png,55,79.6217,25.0141,2
201811121505_00033.png,8,80.0268,22.4368,2
201811121505_00034.png,77,73.1005,24.362,1
201811121505_00035.png,88,92.8659,34.6218,1
201811121505_00036.png,75,89.3913,37.5819,1
201811121505_00037.png,39,91.4462,33.5185,1
201811121505_00038.png,80,75.9807,22.8739,1
201811121505_00039.png,76,71.269,22.9271,1
201811121505_00040.png,81,65.4202,23.4874,1
201811121505_00041.png,65,90.1922,36.4046,1
201811121505_00042.png,76,81.6069,26.0557,2
201811121505_00042.png,7,80.1077,22.5422,2
201811121505_00043.png,86,79.1158,24.8542,1
201811121505_00044.png,81,89.8792,31.744,1
201811121505_00045.png,72,73.6696,24.1256,1
201811121505_00046.png,58,88.0291,36.0639,1
201811121505_00047.png,88,58.2779,22.9356,1
201811121505_00048.png,86,79.2432,27.2298,5
201811121505_00048.png,15,81.4892,29.7303,5
201811121505_00048.png,12,80.0917,24.0142,5
201811121505_00048.png,7,81.7564,15.7272,5
201811121505_00048.png,5,78.6996,25.3345,5
201811121505_00049.png,53,81.527,27.3065,4
201811121505_00049.png,17,79.9745,27.0689,4
201811121505_00049.png,7,81.7086,16.3842,4
201811121505_00049.png,7,80.5639,25.6828,4
201811121505_00050.png,71,90.5697,39.038,1
201811121505_00051.png,88,86.6864,30.3853,1
201811121505_00052.png,72,75.4455,22.294,1
201811121505_00053.png,73,91.3608,37.1857,1
201811121505_00054.png,94,68.2127,22.5134,1
201811121505_00055.png,72,91.6939,33.9174,1
201811121505_00056.png,76,81.8043,26.9811,3
201811121505_00056.png,11,80.5853,24.9298,3
201811121505_00056.png,5,82.3276,16.5613,3
201811121505_00057.png,91,87.18,31.0623,1
201811121505_00058.png,46,94.4072,39.8637,1
201811121505_00059.png,67,75.0237,23.3003,1
201811121505_00060.png,88,92.9817,36.3156,1
201811121505_00061.png,69,89.2441,32.353,1
201811121505_00062.png,85,79.4279,26.2381,4
201811121505_00062.png,11,79.9012,23.514,4
201811121505_00062.png,5,81.5783,16.0046,4
201811121505_00062.png,5,82.079,29.7545,4
201811121505_00063.png,76,75.2305,21.7417,1
201811121505_00064.png,62,88.5452,34.9175,1
201811121505_00065.png,47,91.5406,31.6289,1
201811121505_00066.png,59,73.3203,24.0979,1
201811121505_00067.png,68,87.6031,37.2883,1
201811121505_00068.png,92,89.7848,41.1099,1
201811121505_00069.png,87,86.1619,30.5744,1
201811121505_00070.png,84,90.1844,39.8832,1
201811121505_00071.png,88,87.9822,31.5128,1
201811121505_00072.png,31,82.9493,28.5876,4
201811121505_00072.png,12,80.4352,23.844,4
201811121505_00072.png,8,82.114,15.2491,4
201811121505_00072.png,7,82.2557,25.7095,4
201811121505_00073.png,81,69.8683,21.8705,1
201811121505_00074.png,0,-,-,0
201811121505_00075.png,74,86.4558,40.8285,1
201811121505_00076.png,0,-,-,0
201811121505_00077.png,76,54.6524,22.2242,1
201811121505_00078.png,21,66.659,20.5354,1
201811121505_00079.png,48,84.1126,27.6005,3
201811121505_00079.png,5,79.5119,27.007,3
201811121505_00079.png,5,82.0097,26.0808,3
201811121505_00080.png,90,77.7336,22.1457,1
201811121505_00081.png,71,84.7147,29.9295,1
201811121505_00082.png,77,89.7534,33.9242,1
201811121505_00083.png,68,74.9828,21.2275,1
201811121505_00084.png,38,74.8587,23.0208,1
201811121505_00085.png,0,-,-,0
201811121505_00086.png,73,70.3384,22.209,1
201811121505_00087.png,22,89.464,31.3608,1
201811121505_00088.png,88,78.4743,25.2962,2
201811121505_00088.png,6,83.6181,24.547,2
201811121505_00089.png,14,78.5965,25.3122,1
201811121505_00090.png,67,75.6562,23.7386,1
201811121505_00091.png,0,-,-,0
201811121505_00092.png,49,83.6372,29.8441,1
201811121505_00093.png,0,-,-,0
201811121505_00094.png,35,86.3483,30.8919,1
201811121505_00095.png,62,84.5129,33.4298,1
201811121505_00096.png,90,77.6443,23.6044,1
201811121505_00097.png,38,86.1199,33.7267,1
201811121505_00098.png,68,84.6657,30.6698,1
201811121505_00099.png,23,87.6742,32.2618,1
201811121505_00100.png,18,84.699,29.3836,2
201811121505_00100.png,12,55.1624,64.341,2
201811121505_00101.png,90,79.0387,24.1254,2
201811121505_00101.png,5,79.8591,22.7766,2
201811121505_00102.png,93,66.6295,23.0537,1
201811121505_00103.png,6,54.9134,65.2691,1
201811121505_00104.png,95,77.9153,24.7703,1
201811121505_00105.png,5,53.7184,66.2214,1
201811121505_00106.png,83,77.7773,22.0841,2
201811121505_00106.png,6,82.8186,23.3127,2
201811121505_00107.png,48,79.5606,24.6646,4
201811121505_00107.png,8,80.0819,21.2087,4
201811121505_00107.png,8,81.732,14.6028,4
201811121505_00107.png,6,83.5658,25.4053,4
201811121505_00108.png,24,90.1539,42.0173,1
201811121505_00109.png,0,-,-,0
201811121505_00110.png,0,-,-,0
201811121505_00111.png,37,76.2715,26.2176,1
201811121505_00112.png,53,85.0566,30.1207,1
201811121505_00113.png,90,77.1884,23.2207,1
201811121505_00114.png,70,87.5427,34.3683,1
201811121505_00115.png,0,-,-,0
201811121505_00116.png,0,-,-,0
201811121505_00117.png,67,70.1705,24.8571,1
201811121505_00118.png,45,74.6029,21.4348,1
201811121505_00119.png,59,79.4694,25.1704,2
201811121505_00119.png,7,80.091,22.8428,2
201811121505_00120.png,0,-,-,0
201811121505_00121.png,67,76.9243,25.1399,1
201811121505_00122.png,66,81.5905,25.9597,2
201811121505_00122.png,6,80.1034,22.6851,2
201811121505_00123.png,16,89.7618,38.8251,1
201811121505_00124.png,71,89.8856,35.7666,1
201811121505_00125.png,0,-,-,0
201811121505_00126.png,60,66.8675,21.3235,2
201811121505_00126.png,9,55.1736,66.2469,2
201811121505_00127.png,23,77.8233,26.2209,4
201811121505_00127.png,8,84.3133,25.1209,4
201811121505_00127.png,6,79.8378,29.5273,4
201811121505_00127.png,5,54.0537,66.5547,4
201811121505_00128.png,55,74.8642,22.841,1
201811121505_00129.png,95,62.5317,19.2528,1
201811121505_00130.png,95,66.4025,21.619,1
201811121505_00131.png,0,-,-,0
201811121505_00132.png,46,88.6833,30.7477,1
201811121505_00133.png,94,67.4741,23.5924,1
201811121505_00134.png,0,-,-,0
201811121505_00135.png,69,74.6241,22.1435,1
201811121505_00136.png,25,89.7757,28.6146,1
201811121505_00137.png,8,90.0633,32.1092,1
201811121505_00138.png,36,82.9514,27.5874,5
201811121505_00138.png,8,80.2297,26.0177,5
201811121505_00138.png,7,80.4716,26.1846,5
201811121505_00138.png,6,79.3927,28.7009,5
201811121505_00138.png,6,82.308,15.9248,5
201811121505_00139.png,67,75.1219,21.2722,1
201811121505_00140.png,44,85.3039,27.7589,1
201811121505_00141.png,88,78.5168,24.7936,2
201811121505_00141.png,10,83.5649,25.715,2
201811121505_00142.png,46,85.1764,28.2853,2
201811121505_00142.png,9,81.1442,28.2998,2
201811121505_00143.png,0,-,-,0
201811121505_00144.png,26,85.492,27.6712,3
201811121505_00144.png,11,80.8362,27.1757,3
201811121505_00144.png,5,80.3855,26.3591,3
201811121505_00145.png,6,54.2841,66.4763,1
201811121505_00146.png,69,74.5464,25.7458,1
201811121505_00147.png,47,78.1725,24.266,1
201811121505_00148.png,0,-,-,0
201811121505_00149.png,26,87.2536,30.8069,1
201811121505_00150.png,33,70.1692,21.2674,1
201811121505_00151.png,77,67.0393,19.3784,1
201811121505_00152.png,71,65.6361,20.0578,1
201811121505_00153.png,39,90.4729,34.1216,1
201811121505_00154.png,28,68.8591,19.6681,1
201811121505_00155.png,31,88.4618,30.404,1
201811121505_00156.png,5,88.1318,36.9988,1
201811121505_00157.png,0,-,-,0
201811121505_00158.png,0,-,-,0
201811121505_00159.png,0,-,-,0
201811121505_00160.png,0,-,-,0
201811121505_00161.png,15,87.147,28.7694,2
201811121505_00161.png,5,81.1198,32.532,2
201811121505_00162.png,48,86.2384,29.6992,1
201811121505_00163.png,61,74.8375,22.8296,1
201811121505_00164.png,0,-,-,0
201811121505_00165.png,76,75.2595,23.0126,1
201811121505_00166.png,78,75.1531,21.6012,1
201811121505_00167.png,0,-,-,0
201811121505_00168.png,29,87.0196,29.9879,1
201811121505_00169.png,0,-,-,0
201811121505_00170.png,82,68.2929,23.3305,1
201811121505_00171.png,47,66.7962,19.0603,1
201811121505_00172.png,0,-,-,0
201811121505_00173.png,66,75.2135,22.6954,1
201811121505_00174.png,13,89.4054,35.4345,1
201811121505_00175.png,63,81.3337,26.6753,3
201811121505_00175.png,11,80.2595,22.9096,3
201811121505_00175.png,6,82.1435,15.4469,3
201811121505_00176.png,77,69.8115,20.5084,1
201811121505_00177.png,71,74.258,22.034,1
201811121505_00178.png,16,88.8539,34.9992,1
201811121505_00179.png,67,75.0723,23.4413,1
201811121505_00180.png,91,77.5094,23.9498,1
201811121505_00181.png,23,91.0195,32.5646,1
201811121505_00182.png,16,84.1392,27.1044,3
201811121505_00182.png,11,79.432,26.0606,3
201811121505_00182.png,8,80.4625,29.4794,3
201811121505_00183.png,71,79.4886,24.3754,2
201811121505_00183.png,7,79.9862,22.7462,2
201811121505_00184.png,0,-,-,0
201811121505_00185.png,75,72.4185,20.1499,1
201811121505_00186.png,64,79.5385,26.55,5
201811121505_00186.png,8,80.1047,22.648,5
201811121505_00186.png,7,81.6082,30.2792,5
201811121505_00186.png,5,81.729,15.3718,5
201811121505_00186.png,5,79.607,27.4954,5
201811121505_00187.png,86,86.2373,27.7421,1
201811121505_00188.png,68,75.7536,23.6865,1
201811121505_00189.png,86,76.0499,21.9245,1
201811121505_00190.png,70,74.7696,22.6588,1
201811121505_00191.png,60,89.5225,33.3216,1
201811121505_00192.png,11,53.1436,65.9465,1
201811121505_00193.png,92,77.4402,24.2289,1
